title,grade,genre,people
"무현, 두 도시 이야기",9.44,다큐멘터리,197225
미나 문방구,7.06,"드라마, 코미디",334323
미녀는 괴로워,8.79,"코미디, 멜로/로맨스",6081480
미술관 옆 동물원,8.75,"멜로/로맨스, 드라마","412,472"
미스터 고,7.76,"드라마, 코미디, 액션",1329061
미스터 소크라테스,7.78,"범죄, 액션, 코미디",1066103
미스 프레지던트,8.13,다큐멘터리,6749
미쓰 백,9.26,드라마,723110
미쓰 와이프,8.68,코미디,988451
미씽: 사라진 여자,8.53,"미스터리, 가족",1153201
미인도,6.32,"멜로/로맨스, 드라마",2342579
미확인 동영상: 절대클릭금지,6.15,"공포, 스릴러",867386
밀양(영화),7.89,드라마,1604819
밀정,8.57,액션,7500457
바람,9.27,"드라마, 액션, 가족",103628
바람과 함께 사라지다,7.59,"코미디, 액션",4909944
바람난 가족,6.85,드라마,"1,748,258"
바람 바람 바람,6.65,코미디,1194239
바람의 파이터,8.17,"액션, 드라마",1442299
바람 피기 좋은 날,5.79,"멜로/로맨스, 코미디",1708979
바르게 살자,8.05,코미디,2135606
바보,8.05,드라마,967654
바보들의 행진,8.95,"드라마, 코미디, 모험","153,780"
바비,6.88,드라마,2416
바이오맨,8.45,"SF, 가족, 액션","2,971"
박대박(영화),6.04,코미디,"21,741"
박수건달,8.11,코미디,3897969
박수칠 때 떠나라,7.77,"코미디, 미스터리",2073641
박열,8.48,"드라마, 모험",2359707
박쥐,6.26,멜로/로맨스,2208165
박하 사탕,9.38,드라마,"290,352"
반가운 살인자,7.6,"코미디, 범죄, 스릴러",590531
반두비,6.77,"드라마, 멜로/로맨스",7763
반창꼬,8.58,"드라마, 멜로/로맨스",2475797
반칙왕,8.38,"코미디, 드라마","787,423"
밤섬해적단 서울불바다,8.92,다큐멘터리,2427
밤의 여왕,6.88,"멜로/로맨스, 코미디",252475
방울토마토,6.89,"가족, 드라마",18478
방자전,7.41,드라마,2985556
방황하는 칼날,7.48,"스릴러, 범죄",989593
배우는 배우다,6.74,드라마,112029
백야,8.81,드라마,"6,075"
백야행 - 하얀 어둠 속을 걷다,7.96,"미스터리, 멜로/로맨스",949896
번지점프를 하다,8.45,멜로/로맨스,"506,529"
범죄도시,9.28,액션,6880546
범죄와의 전쟁: 나쁜놈들 전성시대,8.63,"범죄, 드라마",4720172
범죄의 여왕,8.42,스릴러,43866
범죄의 재구성,8.78,"범죄, 스릴러, 코미디",943241
베를린,7.83,"액션, 드라마",7166688
베스트셀러,7.6,미스터리,1081752
베테랑,9.24,"액션, 드라마",13414484
변호인,9.29,드라마,11375123
보안관,8.26,"범죄, 코미디",2588628
보통사람,8.49,드라마,383336
복면달호,7.49,"코미디, 드라마",1507970
복수는 나의 것,8.38,"범죄, 스릴러","162,517"
복수혈전,8.86,액션,"20,637"
봄날은 간다,9.31,"드라마, 멜로/로맨스","376,642"
봉이 김선달,8.26,"코미디, 모험",2051386
부당거래,8.69,"범죄, 드라마",2725860
부라더,7.83,코미디,1492903
부러진 화살,8.92,드라마,3460212
부산행,8.59,"액션, 스릴러",11567662
분노의 윤리학,6.73,"범죄, 드라마",225618
분홍신,5.53,"공포, 스릴러",1073189
불꽃처럼 나비처럼,6.95,"드라마, 멜로/로맨스",1670652
불신지옥,7.92,"공포, 미스터리",248291
불청객,5.41,"공포, 스릴러",31
불한당: 나쁜 놈들의 세상,8.14,"범죄, 액션, 드라마",963239
뷰티풀 선데이,7.37,"드라마, 액션, 스릴러",169036
뷰티 인사이드,8.26,멜로/로맨스,2058096
브라보 마이 라이프,8.01,"코미디, 드라마",71409
블라인드,8.08,스릴러,2367942
블루,9.03,드라마,"198,500"
비밀은 없다,7,스릴러,250975
비스티 보이즈,7.1,드라마,719587
비열한 거리,8.79,"범죄, 액션, 느와르",1829887
비천무,5.99,"액션, 멜로/로맨스","717,659"
빅매치,7.82,액션,1177435
빨간마후라,7.5,"액션, 드라마",1201944
뺑반,7.16,"범죄, 액션",1827020
사과,7.9,"멜로/로맨스, 드라마",58233
사냥,5.92,"액션, 스릴러",645834
사도,8.49,드라마,6247651
사랑니(영화),10,"멜로/로맨스, 드라마",135698
사랑방 손님과 어머니,9.01,"드라마, 멜로/로맨스","3,901"
사랑하기 때문에,8.38,"코미디, 멜로/로맨스",340936
사생결단,7.43,"느와르, 액션",1724709
산상수훈,8.29,드라마,55033
살인의 추억,9.65,"범죄, 미스터리","5,255,376"
살인의뢰,7.04,"범죄, 스릴러",855988
살인자,4.13,스릴러,88199
살인자의 기억법,8.17,"범죄, 스릴러",2658589
삼거리극장,8.05,뮤지컬,16063
상류사회,5.66,드라마,768249
상의원,7.8,드라마,790370
색즉시공,7.28,코미디,"4,082,797"
생활의 발견,7.63,"드라마, 멜로/로맨스","124,682"
서부전선,7.17,"전쟁, 드라마",609063
서양골동양과자점 앤티크,8.21,드라마,1181332
서편제,8.67,드라마,"1,035,741"
석조저택 살인사건,8.21,"스릴러, 서스펜스",353517
선데이서울,3.15,"코미디, SF, 판타지",36865
선생 김봉두,8.93,"코미디, 드라마","2,472,135"
설국열차,7.98,"SF, 액션, 드라마",9352605
섬. 사라진 사람들,7.84,스릴러,20165
성난 변호사,8.49,"범죄, 액션",1131154
성냥팔이 소녀의 재림,4.16,"액션, 판타지, SF","52,317"
성실한 나라의 앨리스,8.13,드라마,44100
세기말,7.51,드라마,"39,636"
세븐 데이즈,9.06,"범죄, 스릴러",2048339
소공녀,9.2,"멜로/로맨스, 드라마",59685
소름,7.26,"공포, 미스터리","78,545"
소셜포비아,7.81,"스릴러, 드라마",251645
소수의견,8.71,드라마,383582
소원,9.32,드라마,2711094
수상한 그녀,9.09,"코미디, 드라마",8660623
수색역,8.8,출구·버스,1821
순수의 시대,6.41,드라마,470308
순정,8.93,드라마,240704
순천,9,다큐멘터리,3855
숨바꼭질,6.78,스릴러,5604106
쉿! 그녀에겐 비밀이에요,6.34,"드라마, 멜로/로맨스",2382
슈팅걸스,0,"드라마, 가족",5591
슈퍼스타 감사용,9.03,"드라마, 코미디",627199
스물,8.6,"코미디, 드라마",3044859
스승의 은혜,6.44,"공포, 스릴러",550215
스카우트,8.17,"코미디, 멜로/로맨스",292462
스캔들 - 조선남녀상열지사,7.91,"드라마, 멜로/로맨스","3,522,747"
스타박'스 다방,8.33,드라마,2772
스플릿,9.15,드라마,758195
슬로우 비디오,7.77,드라마,1169546
쉬리,8.86,"액션, 멜로/로맨스","5,820,000"
슈퍼맨이었던 사나이,7.48,"코미디, 드라마",550284
시간이탈자,7.88,스릴러,1202511
"시발, 놈 - 인류의 시작",7.96,"코미디, 드라마",1159
시라노;연애 조작단,8,"멜로/로맨스, 코미디",2684798
시실리 2km,7.99,"공포, 코미디",1263196
시월애,9.23,"드라마, 멜로/로맨스","248,597"
식객,8.48,"드라마, 코미디",2965359
식객: 김치전쟁,7.19,드라마,462714
신과함께,8.63,"판타지, 드라마",12276350
신과함께-죄와 벌,8.73,"판타지, 드라마",14411775
신과함께-인과 연,8.63,"판타지, 드라마",12276350
신기전,8.28,"드라마, 액션, 전쟁",3728439
신데렐라,6.61,"애니메이션, 판타지",284922
신라의 달밤,7.55,"코미디, 액션","1,608,211"
신세계,8.92,"범죄, 드라마",4684571
신장 개업,7.59,"공포, 코미디","100,915"
신의 한 수,8.69,"범죄, 액션",2159081
실미도,8.54,"전쟁, 스릴러, 드라마","11,081,000"
실종,6.05,"범죄, 스릴러",644276
실종: 사라진 아내,10,"스릴러, 멜로/로맨스",185
심야의 FM,6.84,"스릴러, 범죄",1208310
싱글라이더,8,드라마,351276
싱글즈,8.11,"멜로/로맨스, 코미디","2,203,042"
싸울아비,3.29,멜로/로맨스,"11,301"
싸움,6.04,"멜로/로맨스, 코미디",342119
싸움의 기술,7.92,"코미디, 액션",1146463
싸이보그지만 괜찮아,5.12,"드라마, 멜로/로맨스",676538
쌍화점,7.24,드라마,3749034
써니,9.11,"코미디, 드라마",7453715
썸머타임,5.38,멜로/로맨스,"84,413"
쎄시봉,7.94,"멜로/로맨스, 드라마",1715370
쏜다,7.74,"코미디, 액션, 드라마",328837
아가씨,7.69,"스릴러, 드라마",4288996
아기와 나,7.91,"코미디, 가족",435940
아내가 결혼했다,5.07,"멜로/로맨스, 드라마",1799501
아는 여자,9.12,코미디,736394
아들,7.86,드라마,452209
아라한 장풍대작전,8.11,"액션, 코미디, 판타지",810430
아부의 왕,5.64,코미디,497880
아수라,6.54,"범죄, 액션",2594769
아이들…,7.88,범죄,1867849
아이 캔 스피크,9.23,드라마,3283470
아저씨,9.24,"액션, 범죄, 드라마",6178665
아프리카,5.5,"드라마, 모험","9,419"
아홉살 인생,9.08,드라마,85312
악녀,7.83,액션,1208081
악마를 보았다,7.95,"범죄, 스릴러",1817069
악어,6.54,드라마,"3,284"
악의 연대기,8.22,"범죄, 스릴러",2192525
안녕 형아,8.28,"드라마, 가족",924019
안시성,8.63,액션,5441020
알바트로스,6.94,"드라마, 액션, 전쟁","9,714"
알 포인트,8.76,"공포, 미스터리, 액션",1068362
암살,9.1,"액션, 드라마",12706829
애마부인,6.62,멜로/로맨스,315000
애자,8.75,"드라마, 코미디",1901731
앨리스 원더랜드에서 온 소년,8.28,"판타지, 공포",9323
어깨동무,8.04,코미디,119884
어린 신부,7.85,"멜로/로맨스, 코미디",991674
여고괴담,0,공포,"621,032"
여고괴담 두번째 이야기,9.57,공포,"148,151"
여고괴담 3 - 여우 계단,6.7,"공포, 스릴러","1,784,479"
여고괴담 4 - 목소리,5.11,"공포, 스릴러",397327
여고생 시집가기,3.15,코미디,57943
여곡성,5,"공포, 미스터리",67368
여배우들,6.81,드라마,513405
여선생 VS 여제자,7.98,"코미디, 드라마",846683
여자들,6.24,"액션, 코미디","2,861"
여중생A,7.39,드라마,97986
역린,7.43,드라마,3849700
연가시,7.18,"드라마, 모험",4516063
연애의 목적,8.14,"멜로/로맨스, 드라마",1524898
연애의 온도,8,멜로/로맨스,1865354
연평해전,9.14,드라마,6045049
연풍연가,8.58,"멜로/로맨스, 드라마","92,574"
열정같은소리하고있네,7.96,드라마,654407
열한번째 엄마,7.95,드라마,337700
열한시,6.44,스릴러,870785
염력,6.19,코미디,990111
엽기적인 그녀,5.55,"멜로/로맨스, 코미디",77118
엽기적인 그녀 2,5.55,"멜로/로맨스, 코미디",77118
예의없는 것들,7.3,"코미디, 액션, 느와르",782907
오감도,2.78,멜로/로맨스,438808
오늘의 연애,7.78,"멜로/로맨스, 코미디",1892125
오발탄,8.53,드라마,"2,894"
오빠생각,8.5,"드라마, 전쟁",1069962
오! 브라더스,8.22,코미디,"3,148,748"
오! 수정,6.98,"드라마, 멜로/로맨스","90,257"
오! 해피데이,6.53,"코미디, 멜로/로맨스","1,073,230"
오로라 공주,8.15,"범죄, 스릴러",830538
오싹한 연애,8.54,"멜로/로맨스, 공포",3009406
옥자,8.77,"모험, 액션, 드라마",322663
올가미,8.53,스릴러,"141,717"
올드마린보이,8.89,다큐멘터리,10820
올드보이,10,"드라마, 미스터리","3,269,000"
와니와준하,8.62,"멜로/로맨스, 드라마","101,879"
와이키키 브라더스,9.5,드라마,"88,214"
와일드 카드,8.89,"액션, 스릴러, 범죄","1,571,931"
완득이,8.78,드라마,5311353
완벽한 파트너,6.88,코미디,90370
왕의 남자,9.03,드라마,10513976
용가리,6.03,"모험, 액션, 판타지","317,306"
용서받지 못한 자,9.09,드라마,10790
용의자,8.27,"액션, 드라마",4131963
용의자X,7.65,미스터리,1552055
우는 남자,6.79,"액션, 드라마",603093
우뢰매,9.15,액션,"5,527"
우리들,9.21,드라마,50625
우리들의 일그러진 영웅,9.3,드라마,"32,359"
우리들의 행복한 시간,8.7,드라마,2472160
우리 생애 최고의 순간,8.58,드라마,4018872
우리에게 내일은 없다,7.97,"범죄, 드라마","3,500"
우리 이웃의 범죄,6.85,"범죄, 드라마",4213
우리 형,8.39,드라마,1778607
우아한 거짓말,8.23,드라마,1619983
우아한 세계,8.34,"범죄, 느와르, 액션",960658
우주의 크리스마스,7.88,"드라마, 판타지",2132
울지 않으리,10,1974.09.28. 개봉,"31,913"
울학교 이티,8.99,"코미디, 드라마",652178
워낭소리,8.67,"다큐멘터리, 가족",2934883
원스 어폰 어 타임,7.99,"코미디, 액션",1544486
웨딩드레스,9.09,드라마,143458
웰컴 투 동막골,8.89,"드라마, 전쟁",6436900
위대한 소원,8.2,"코미디, 드라마",308457
위대한 유산,7.75,"멜로/로맨스, 코미디","2,251,491"
유감스러운 도시,5.97,"액션, 범죄, 코미디",1532632
유리정원,8.22,"미스터리, 드라마",22752
육체의 약속,7.79,멜로/로맨스,"69,522"
육혈포 강도단,7.56,"범죄, 코미디",1214237
은교,7.07,멜로/로맨스,1346511
은밀하게 위대하게,7.12,"액션, 드라마, 코미디",6959083
은하해방전선,8.88,"코미디, 멜로/로맨스",5228
은행나무 침대,7.81,"드라마, 멜로/로맨스","452,580"
의뢰인,8.07,"드라마, 스릴러",2393103
의형제,8.86,"액션, 드라마",5416923
이것이 우리의 끝이다,7.48,드라마,2926
이끼,7.09,"드라마, 범죄",3350311
이리,5.13,드라마,2241
이별계약,8.33,"드라마, 멜로/로맨스",18343
이웃사람,7.52,스릴러,2434435
이웃집 좀비,5.72,"공포, 코미디, 드라마",2807
이장과 군수,7.17,코미디,1179661
이중간첩,7.8,"드라마, 스릴러, 범죄","1,025,928"
이층의 악당,8.05,"코미디, 범죄",596864
이태원 살인 사건,5.9,"미스터리, 범죄",531023
인디안 썸머,8.32,멜로/로맨스,"388,865"
인류멸망보고서,4.85,"SF, 판타지",97916
인정사정 볼 것 없다,8.59,"드라마, 액션","664,861"
인천상륙작전,8.55,"전쟁, 드라마",7051237
인사동 스캔들,7.99,"범죄, 액션, 드라마",1187684
