title,grade,genre,people,genre2
바람 바람 바람,6.65,코미디,1194239,코미디
바람의 파이터,8.17,"액션, 드라마",1442299,액션
바람 피기 좋은 날,5.79,"멜로/로맨스, 코미디",1708979,로맨틱코미디
바르게 살자,8.05,코미디,2135606,코미디
바보,8.05,드라마,967654,드라마
바보들의 행진,8.95,"드라마, 코미디, 모험","153,780",코미디
바비,6.88,드라마,2416,드라마
바이오맨,8.45,"SF, 가족, 액션","2,971",SF
박대박(영화),6.04,코미디,"21,741",코미디
박수건달,8.11,코미디,3897969,코미디
박수칠 때 떠나라,7.77,"코미디, 미스터리",2073641,코미디
박열,8.48,"드라마, 모험",2359707,드라마
박쥐,6.26,멜로/로맨스,2208165,멜로/로맨스
박하 사탕,9.38,드라마,"290,352",드라마
반가운 살인자,7.6,"코미디, 범죄, 스릴러",590531,코미디
반두비,6.77,"드라마, 멜로/로맨스",7763,멜로/로맨스
반창꼬,8.58,"드라마, 멜로/로맨스",2475797,멜로/로맨스
반칙왕,8.38,"코미디, 드라마","787,423",코미디
밤섬해적단 서울불바다,8.92,다큐멘터리,2427,다큐멘터리
밤의 여왕,6.88,"멜로/로맨스, 코미디",252475,로맨틱코미디
방울토마토,6.89,"가족, 드라마",18478,가족
방자전,7.41,드라마,2985556,드라마
방황하는 칼날,7.48,"스릴러, 범죄",989593,스릴러
배우는 배우다,6.74,드라마,112029,드라마
백야,8.81,드라마,"6,075",드라마
백야행 - 하얀 어둠 속을 걷다,7.96,"미스터리, 멜로/로맨스",949896,미스터리
번지점프를 하다,8.45,멜로/로맨스,"506,529",멜로/로맨스
범죄도시,9.28,액션,6880546,액션
범죄와의 전쟁: 나쁜놈들 전성시대,8.63,"범죄, 드라마",4720172,범죄
범죄의 여왕,8.42,스릴러,43866,스릴러
범죄의 재구성,8.78,"범죄, 스릴러, 코미디",943241,범죄
베를린,7.83,"액션, 드라마",7166688,액션
베스트셀러,7.6,미스터리,1081752,미스터리
베테랑,9.24,"액션, 드라마",13414484,액션
변호인,9.29,드라마,11375123,드라마
보안관,8.26,"범죄, 코미디",2588628,범죄
보통사람,8.49,드라마,383336,드라마
복면달호,7.49,"코미디, 드라마",1507970,코미디
복수는 나의 것,8.38,"범죄, 스릴러","162,517",범죄
복수혈전,8.86,액션,"20,637",액션
봄날은 간다,9.31,"드라마, 멜로/로맨스","376,642",멜로/로맨스
봉이 김선달,8.26,"코미디, 모험",2051386,코미디
부당거래,8.69,"범죄, 드라마",2725860,범죄
부라더,7.83,코미디,1492903,코미디
부러진 화살,8.92,드라마,3460212,드라마
