"[2019 우리은행 LCK Summer] HLE vs. KZ - JAG vs. SB',","445374661',",,2019년 6월 28일,
"[2019 우리은행 LCK Summer] HLE vs. KZ - JAG vs. SB',","445318510',",,2019년 6월 28일,
"[2019 우리은행 LCK Summer] HLE vs. KZ - JAG vs. SB',","445317833',",,2019년 6월 28일,
"[2019 우리은행 LCK Summer] HLE vs. KZ - JAG vs. SB',","445302049',",,2019년 6월 28일,
"[2019 우리은행 LCK Summer] DWG vs. AF - SKT vs. KT',","444853316',",,2019년 6월 27일,
"[2019 우리은행 LCK Summer] GEN vs. SB - JAG vs. GRF',","444391654',",,2019년 6월 26일,
"[2019 우리은행 LCK Summer] AF vs. GEN - SB vs. KT',","443023305',",,2019년 6월 23일,
"[2019 우리은행 LCK Summer] SKT vs. GRF - HLE vs. JAG',","442552981',",,2019년 6월 22일,
"[2019 우리은행 LCK Summer] SB vs. AF - KZ vs. DWG',","442084685',",,2019년 6월 21일,
"[2019 우리은행 LCK Summer] GRF vs. KT - GEN vs. HLE',","441614119',",,2019년 6월 20일,
"[2019 우리은행 LCK Summer] DWG vs. SKT - KZ vs. JAG',","441143518',",,2019년 6월 19일,
"[2019 우리은행 LCK Summer] KT vs. GEN - JAG vs. DWG',","439789553',",,2019년 6월 16일,
"[2019 우리은행 LCK Summer] AF vs. KZ - SKT vs. SB',","439319367',",,2019년 6월 15일,
"[2019 우리은행 LCK Summer] KT vs. DWG - GRF vs. HLE',","438819858',",,2019년 6월 14일,
"[2019 우리은행 LCK Summer] GEN vs. JAG - KZ vs. SKT',","438365977',",,2019년 6월 13일,
"[2019 우리은행 LCK Summer] HLE vs. AF - GRF vs. SB',","437912997',",,2019년 6월 12일,
"[2019 우리은행 LCK Summer] SB vs. KZ - AF vs. SKT',","436555262',",,2019년 6월 9일,
"[2019 우리은행 LCK Summer] HLE vs. KT - DWG vs. GRF',","436083009',",,2019년 6월 8일,
"[2019 우리은행 LCK Summer] SKT vs. JAG - KZ vs. GEN',","435612818',",,2019년 6월 7일,
"[2019 우리은행 LCK Summer] SB vs. HLE - GRF vs. AF',","435167513',",,2019년 6월 6일,
"[2019 우리은행 LCK Summer] JAG vs. KT - GEN vs. DWG',","434716584',",,2019년 6월 5일,
"G2 vs. TL | Finals | 2019 Mid-Season Invitational | G2 Esports vs. Team Liquid',","426869245',",,2019년 5월 19일,
"SKT vs. G2 | Semifinals Day 2 | 2019 Mid-Season Invitational | SK telecom T1 vs. G2 Esports',","426377076',",,2019년 5월 18일,
"IG vs. TL | Semifinals Day 1 | 2019 Mid-Season Invitational | Invictus Gaming vs. Team Liquid',","425952907',",,2019년 5월 17일,
"Group Stage Day 5 | 2019 Mid-Season Invitational',","424670121',",,2019년 5월 14일,
"Group Stage Day 4 | 2019 Mid-Season Invitational',","424250883',",,2019년 5월 13일,
"Group Stage Day 3 | 2019 Mid-Season Invitational',","423792187',",,2019년 5월 12일,
"Group Stage Day 2 | 2019 Mid-Season Invitational',","423292744',",,2019년 5월 11일,
"Group Stage Day 1 | 2019 Mid-Season Invitational',","422860096',",,2019년 5월 10일,
"PVB vs. VEG | Play-In Knockouts | MSI 2019 | Phong V? Buffalo vs. Vega Squadron',","421559374',",,2019년 5월 7일,
"TL vs. PVB - FW vs. VEG | Play-In Knockouts | 2019 Mid-Season Invitational',","421122362',",,2019년 5월 6일,
"Play-In Stage | Day 3 | 2019 Mid-Season Invitational',","420621383',",,2019년 5월 5일,
"Play-In Groups | Day 2 | 2019 Mid-Season Invitational',","419245712',",,2019년 5월 2일,
"Play-In Groups | Day 1 | 2019 Mid-Season Invitational',","418802189',",,2019년 5월 1일,
"[2019 스무살우리 LCK Spring Split] Summer Promotion I JAG vs. ESS',","414256941',",,2019년 4월 21일,
"[2019 스무살우리 LCK Spring Split] Summer Promotion I VSG vs. ESS',","413256413',",,2019년 4월 19일,
"[2019 스무살우리 LCK Spring Split] Summer Promotion I KT vs. JAG',","412778227',",,2019년 4월 18일,
"[2019 스무살우리 LCK Spring Split] Summer Promotion I KT vs. VSG, JAG vs. ESS',","411832315',",,2019년 4월 16일,
"[2019 스무살우리 LCK Spring Split] FINALS I GRF vs. SKT',","410315530',",,2019년 4월 13일,
"[2019 스무살우리 LCK Spring Split] Playoffs 2라운드 I SKT vs. KZ',","407457306',",,2019년 4월 7일,
"[2019 스무살우리 LCK Spring Split] Playoffs 1라운드 I KZ vs. DWG',","406397444',",,2019년 4월 5일,
"[2019 스무살우리 LCK Spring Split] WILD CARD I SB vs. DWG',","405423139',",,2019년 4월 3일,
"[2019 스무살우리 LCK Spring Split]  JAG vs. GRF - KT vs. DWG',","403960817',",,2019년 3월 31일,
"[2019 스무살우리 LCK Spring Split]  SB vs. GEN - SKT vs. AF',","403403519',",,2019년 3월 30일,
"[2019 스무살우리 LCK Spring Split]  HLE vs. KT - GRF vs. KZ',","402876459',",,2019년 3월 29일,
"[2019 스무살우리 LCK Spring Split]  JAG vs. SKT - GEN vs. DWG',","402388026',",,2019년 3월 28일,
"[2019 스무살우리 LCK Spring Split]  HLE vs. SB - AF vs. KZ',","400378301',",,2019년 3월 24일,
"[2019 스무살우리 LCK Spring Split]  JAG vs. KT - GRF vs. DWG',","399807785',",,2019년 3월 23일,
"[2019 스무살우리 LCK Spring Split]  AF vs. GEN - SKT vs. SB',","399268148',",,2019년 3월 22일,
"[2019 스무살우리 LCK Spring Split]  GRF vs. HLE - KZ vs. KT',","398784215',",,2019년 3월 21일,
"[2019 스무살우리 LCK Spring Split]  HLE vs. SKT - GEN vs. KZ',","396835440',",,2019년 3월 17일,
"[2019 스무살우리 LCK Spring Split]  AF vs. GRF - KT vs. SB',","396277909',",,2019년 3월 16일,
"[2019 스무살우리 LCK Spring Split]  KZ vs. JAG - DWG vs. HLE',","395748264',",,2019년 3월 15일,
"[2019 스무살우리 LCK Spring Split]  GRF vs. GEN - SKT vs. KT',","395268008',",,2019년 3월 14일,
"[2019 스무살우리 LCK Spring Split]  KT vs. AF - SB vs. GRF',","393268509',",,2019년 3월 10일,
"[2019 스무살우리 LCK Spring Split]  HLE vs. JAG - KZ vs. DWG',","392683639',",,2019년 3월 9일,
"[2019 스무살우리 LCK Spring Split]  SKT vs. GRF - KT vs. GEN',","392138062',",,2019년 3월 8일,
"[2019 스무살우리 LCK Spring Split]  SB vs. DWG - JAG vs. AF',","391638335',",,2019년 3월 7일,
"[2019 스무살우리 LCK Spring Split]  GEN vs. HLE - KZ vs. SKT',","389582060',",,2019년 3월 3일,
"[2019 스무살우리 LCK Spring Split]  AF vs. DWG - SB vs. JAG',","388999837',",,2019년 3월 2일,
"[2019 스무살우리 LCK Spring Split]  KZ vs. HLE - SKT vs. GEN',","388454355',",,2019년 3월 1일,
"[2019 스무살우리 LCK Spring Split]  SB vs. AF - DWG vs. JAG',","387935374',",,2019년 2월 28일,
"[2019 스무살우리 LCK Spring Split]  DWG vs. SKT - HLE vs. AF',","385880241',",,2019년 2월 24일,
"[2019 스무살우리 LCK Spring Split]  KZ vs. SB - GEN vs. JAG',","385288827',",,2019년 2월 23일,
"[2019 스무살우리 LCK Spring Split]  HLE vs. DWG - KT vs. GRF',","384730166',",,2019년 2월 22일,
"LCK Spring:  KZ vs. JAG - AF vs. SB',","384213759',",,2019년 2월 21일,
"LCK Spring:  GRF vs. GEN - KT vs. SKT',","383687548',",,2019년 2월 20일,
"LCK Spring:  AF vs. GRF - KT vs. SB',","382056069',",,2019년 2월 17일,
"LCK Spring: GEN vs. SKT - DWG vs. JAG',","381465351',",,2019년 2월 16일,
"LCK Spring: KT vs. GRF - KZ vs. HLE',","380890178',",,2019년 2월 15일,
"LCK Spring: AF vs. DWG - SB vs. JAG',","380414944',",,2019년 2월 14일,
"LCK Spring: GEN vs. HLE - KZ vs. SKT',","379896830',",,2019년 2월 13일,
"LCK Spring: KZ vs. GEN - HLE vs. SKT',","374457276',",,2019년 2월 3일,
"LCK Spring: KT vs. AF - GRF vs. SB',","373842574',",,2019년 2월 2일,
"LCK Spring: KZ vs. DWG - HLE vs. JAG',","373285771',",,2019년 2월 1일,
"LCK Spring: GRF vs. SKT - KT vs. GEN',","372771800',",,2019년 1월 31일,
"LCK Spring: DWG vs. SB - AF vs. JAG',","372211484',",,2019년 1월 30일,
"LCK Spring: DWG vs. SKT - GEN vs. JAG',","370613074',",,2019년 1월 27일,
"LCK Spring: AF vs. KZ - HLE vs. SB',","370007461',",,2019년 1월 26일,
"LCK Spring: KT vs. JAG - GRF vs. DWG',","369418142',",,2019년 1월 25일,
"LCK Spring: SB vs. SKT - AF vs. GEN',","368910124',",,2019년 1월 24일,
"LCK Spring: KT vs. KZ - GRF vs. HLE',","368411353',",,2019년 1월 23일,
"LCK Spring: KZ vs. SB - AF vs. HLE',","366853384',",,2019년 1월 20일,
"LCK Spring: KT vs. DWG - GRF vs. JAG',","366256341',",,2019년 1월 19일,
"LCK Spring: GEN vs. SB - AF vs. SKT',","365716406',",,2019년 1월 18일,
"LCK Spring: KT vs. HLE - KZ vs. GRF',","365226896',",,2019년 1월 17일,
"LCK Spring: SKT vs. JAG - GEN vs. DWG',","364727783',",,2019년 1월 16일,
"2018 LoL All-star Day 3',","346550680',",,2018년 12월 9일,
"2018 LoL All-star Day 2',","346049428',",,2018년 12월 8일,
"2018 LoL All-star Day 1',","345618051',",,2018년 12월 7일,
"2018 LoL World Championship 결승 IG VS FNC',","330942774',",,2018년 11월 3일,
"2018 LoL World Championship 4강 C9 VS FNC ',","328431697',",,2018년 10월 28일,
"2018 LoL World Championship 4강 G2 VS IG',","327970702',",,2018년 10월 27일,
"2018 LoL World Championship 8강 AFS VS C9 l FNC VS EDG',","325411081',",,2018년 10월 21일,
"2018 LoL World Championship 8강 KT VS IG l RNG VS G2',","324947239',",,2018년 10월 20일,
"2018 LoL World Championship 그룹 스테이지 Day 8',","323747928',",,2018년 10월 17일,
"2018 LoL World Championship 그룹 스테이지 Day 7',","323331933',",,2018년 10월 16일,
"2018 LoL World Championship 그룹 스테이지 Day 6',","322926522',",,2018년 10월 15일,
"2018 LoL World Championship 그룹 스테이지 Day 5',","322480618',",,2018년 10월 14일,
"2018 LoL World Championship 그룹 스테이지 Day 4',","321999766',",,2018년 10월 13일,
"2018 LoL World Championship 그룹 스테이지 Day 3',","321530531',",,2018년 10월 12일,
"2018 LoL World Championship 그룹 스테이지 Day 2',","321108176',",,2018년 10월 11일,
"2018 LoL World Championship 그룹 스테이지 Day 1',","320713900',",,2018년 10월 10일,
"2018 LoL World Championship 플레이 인 스테이지 Day 6 : G2 VS INF l GRX VS SUP',","319420633',",,2018년 10월 7일,
"2018 LoL World Championship 플레이 인 스테이지 Day 5 : C9 VS GMB l EDG VS DFM',","318970697',",,2018년 10월 6일,
"2018 LoL World Championship 플레이 인 스테이지 Day 4',","318208300',",,2018년 10월 4일,
"2018 LoL World Championship 플레이 인 스테이지 Day 3',","317807282',",,2018년 10월 3일,
"2018 LoL World Championship 플레이 인 스테이지 Day 2',","317414511',",,2018년 10월 2일,
"2018 LoL World Championship 플레이 인 스테이지 Day 2 : EDG VS INF',","317408087',",,2018년 10월 2일,
"2018 LoL World Championship 플레이 인 스테이지 Day 1',","317015249',",,2018년 10월 1일,
"2019 LCK 스프링 승강전 : BtC vs. MVP',","313203581',",,2018년 9월 22일,
"2019 LCK 스프링 승강전 : MVP vs. bbq',","312771632',",,2018년 9월 21일,
"2019 LCK 스프링 승강전 : BtC vs. DWG',","312374758',",,2018년 9월 20일,
"2019 LCK 스프링 승강전 : MVP vs. BtC | bbq vs. DWG',","311586862',",,2018년 9월 18일,
"2018 LoL 월드챔피언십 한국대표팀 선발전: KZ vs. GEN',","310785508',",,2018년 9월 16일,
"2018 LoL 월드챔피언십 한국대표팀 선발전: GRF vs. GEN',","309879403',",,2018년 9월 14일,
"2018 LoL 월드챔피언십 한국대표팀 선발전: GEN vs. SKT',","309065241',",,2018년 9월 12일,
"LCK Summer Finals: kt Rolster vs. Griffin',","307372160',",,2018년 9월 8일,
"LCK Playoffs: Griffin vs Afreeca Freecs',","298776271',",,2018년 8월 18일,
"LCK Summer Playoff R1: KZ vs AFs',","297557214',",,2018년 8월 15일,
"LCK Summer WILD CARD: GEN vs. AFs',","296279166',",,2018년 8월 12일,
"LCK Summer: SKT vs. KZ - MVP vs. KT',","294983059',",,2018년 8월 9일,
"LCK Summer: AFS vs. JAG - GRF vs. BBQ',","294567874',",,2018년 8월 8일,
"LCK Summer: GEN vs. MVP - HLE vs. KT',","294144241',",,2018년 8월 7일,
"LCK Summer: AFs vs. HEL -KZ vs. bbq',","293337177',",,2018년 8월 5일,
"LCK Summer: SKT vs. GRF - GEN vs. JAG',","292937919',",,2018년 8월 4일,
"LCK Summer: HLE vs. MVP - JAG vs. KT',","292133135',",,2018년 8월 2일,
"LCK Summer: BBQ vs. GEN - SKT vs. AFS',","291727571',",,2018년 8월 1일,
"LCK Summer: JAG vs. GRF - KZ vs. HLE',","291321527',",,2018년 7월 31일,
"LCK Summer: SKT vs. GEN - KT vs. bbq',","290523079',",,2018년 7월 29일,
"LCK Summer: AFS vs. KZ - GRF vs. MVP',","290138840',",,2018년 7월 28일,
"LCK Summer: BBQ vs. HLE - JAG vs. SKT',","289757896',",,2018년 7월 27일,
"LCK Summer: KZ vs. KT - GEN vs. GRF',","289378947',",,2018년 7월 26일,
"LCK Summer: SKT vs. BBQ - HLE vs. JAG - MVP vs. AFS',","288944855',",,2018년 7월 25일,
"LCK Summer: GRF vs. KZ - GEN vs. KT',","288553600',",,2018년 7월 24일,
"LCK Summer: KZ vs. MVP - AFs vs. GEN',","287733252',",,2018년 7월 22일,
"LCK Summer: GRF vs. KT - SKT vs. HLE',","287327364',",,2018년 7월 21일,
"LCK Summer: JAG vs. MVP - bbq vs. AFs',","286918603',",,2018년 7월 20일,
"LCK Summer: HLE vs. GRF - KT vs. SKT',","286511664',",,2018년 7월 19일,
"LCK Summer: GEN vs. KZ - JAG vs. bbq',","286097349',",,2018년 7월 18일,
"LCK Summer: AFs vs. GRF - MVP vs. SKT',","285681881',",,2018년 7월 17일,
"LCK Summer: KT vs. AFs - HLE vs. GEN',","284878342',",,2018년 7월 15일,
"LCK Summer: KZ vs. JAG - MVP vs. BBQ',","284487267',",,2018년 7월 14일,
"LCK Summer: GRF vs. GEN - HLE vs. SKT',","284089206',",,2018년 7월 13일,
"LCK Summer: BBQ vs. JAG - MVP vs. KZ',","283668508',",,2018년 7월 12일,
"LCK Summer: GRF vs, AFS - KT vs. HLE',","283293375',",,2018년 7월 11일,
"2018  LoL Rift Rivals - 4일차(파이널)',","282151656',",,2018년 7월 8일,
"2018  LoL Rift Rivals - 3일차(세미 파이널)',","281785624',",,2018년 7월 7일,
"2018  LoL Rift Rivals - 2일차(그룹 스테이지)',","281399020',",,2018년 7월 6일,
"2018  LoL Rift Rivals - 1일차(그룹 스테이지)',","281083416',",,2018년 7월 5일,
"2018  LoL Rift Rivals - 1일차(그룹 스테이지)',","281071594',",,2018년 7월 5일,
"2018  LoL Rift Raivals - 1일차(그룹 스테이지)',","281048621',",,2018년 7월 5일,
"2018 아시안게임 리그 오브 레전드 시범경기 - 2일차',","280729780',",,2018년 7월 4일,
"2018 아시안게임 리그 오브 레전드 시범경기 - 1일차',","279999374',",,2018년 7월 2일,
"LCK Summer: GEN vs. AFs - KT vs. MVP',","279612766',",,2018년 7월 1일,
"LCK Summer: HLE vs. KZ - BBQ vs. SKT',","279238636',",,2018년 6월 30일,
"LCK Summer: AFs vs. MVP - JAG vs. GEN',","278868191',",,2018년 6월 29일,
"LCK Summer: KT vs. GRF - KZ vs. SKT',","278501686',",,2018년 6월 28일,
"LCK Summer: MVP vs. HLE - GEN vs. BBQ l JAG vs. AFS',","278089814',",,2018년 6월 27일,
